EQDIR,FixtureID,LoadCellID,EQDate,EQDIR_Ref,FixtureID_Ref,LoadCellID_Ref
8044441,M10912,Q12478,14-Oct-22,8044147,M10911,Q9455
8044502,M7701,Q9457,26-Oct-22,8044019,M12122,Q12479
8045328,M12122,Q9454,3-Jan-23,8044502,M7701,Q9457
8045518,M10908,Q9310,12-Jan-23,8045328,M12122,Q9454
8045936,M10911,Q9455,22-Feb-23,8044441,M10912,Q12478
8046030,M7701,Q12477,24-Mar-23,8045328,M12122,Q9454
8046568,M7699,Q12478,17-May-23,8045936,M10911,Q9455
8047108,M10909,Q14561,8-May-23,8045328,M12122,Q9454
8047484,M10908,Q12154,17-Apr-23,8045328,M12122,Q9454
8047641,M7700,Q11181,27-Jun-23,8046568,M7699,Q12478
8047822,M10911,Q9455,10-Jul-23,8046568,M7699,Q12478
8047856,M10909,Q14561,12-Jul-23,8046030,M7701,Q12477
8047971,M12122,Q12479,12-Jul-23,8047108,M10909,Q14561
8048060,M7701,Q14561,27-Jul-23,8047971,M12122,Q12479
8048482,M13500,Q9459,29-Aug-23,8047822,M10911,Q9455
8048529,M13499,Q12477,30-Aug-23,8048060,M7701,Q14561
8048714,M10481,Q11181,15-Sep-23,8047484,M10908,Q12154
8049244,M7704,Q9454,24-Oct-23,8048529,M13499,Q12477
8049653,M10912,Q12478,20-Nov-23,8047822,M10911,Q9455
8050389,M10908,Q12535,23-Jan-24,8048714,M10481,Q11181
8050414,M7701,Q14561,29-Jan-24,8049244,M7704,Q9454
8050912,M8547,Q13901,27-Feb-24,8048060,M7701,Q14561
8051583,M10911,Q9459,5-Apr-24,8049653,M10912,Q12478
